Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,54.400002,55.330002,50.50,51.75,16842600,51.44508
2015-11-02,53.450001,56.459999,52.490002,54.09,15677400,53.771294
2015-10-01,49.419998,55.060001,47.709999,53.169998,18549700,52.856712
2015-09-01,52.400002,53.00,48.470001,49.610001,20241300,49.272636
2015-08-03,58.619999,59.25,47.099998,53.48,20196800,53.116318
2015-07-01,56.009998,60.950001,52.77,58.459999,21174400,58.06245
2015-06-01,54.68,57.639999,54.130001,55.240002,18355600,54.817795
2015-05-01,53.639999,55.369999,52.349998,54.080002,15425900,53.66666
2015-04-01,51.369999,54.459999,50.98,53.32,17531400,52.862377
2015-03-02,52.419998,54.720001,50.470001,51.52,21634600,51.077827
2015-02-02,47.200001,52.869999,46.900002,52.419998,18996300,51.9701
2015-01-02,54.360001,54.689999,46.599998,46.950001,26097800,46.54705
2014-12-01,53.799999,56.950001,51.110001,54.110001,18403600,53.634212
2014-11-03,53.419998,54.52,52.630001,53.970001,12128600,53.495441
2014-10-01,51.68,53.900002,48.110001,53.529999,23086300,53.059311
2014-09-02,51.779999,54.130001,51.119999,51.82,17254700,51.354591
2014-08-01,48.59,52.389999,47.650002,51.650002,14251900,51.186123
2014-07-01,47.419998,50.59,46.549999,48.91,18622100,48.47073
2014-06-02,47.599998,49.59,46.919998,47.099998,16913400,46.667645
2014-05-01,47.810001,48.349998,46.080002,47.57,15628200,47.133331
2014-04-01,47.720001,48.619999,45.18,47.91,25826100,47.460304
2014-03-03,47.799999,51.00,46.790001,47.599998,32793900,47.153214
2014-02-03,47.84,50.150002,46.189999,48.630001,28322200,48.17355
2014-01-02,52.029999,55.279999,47.290001,47.43,33714300,46.98481
2013-12-02,52.959999,53.41,50.27,52.110001,19660100,51.610146
2013-11-01,48.869999,53.68,48.23,52.919998,21928900,52.412373
2013-10-01,48.849998,51.57,47.599998,48.779999,24956200,48.312088
2013-09-03,49.369999,52.880001,47.830002,48.509998,24657300,48.035046
2013-08-01,52.84,53.200001,47.639999,48.330002,22513200,47.856812
2013-07-01,48.50,53.299999,46.700001,52.139999,27196400,51.619602
2013-06-03,52.060001,52.619999,45.060001,47.970001,37839600,47.491226
2013-05-01,46.48,53.560001,45.490002,51.990002,30068000,51.471104
2013-04-01,44.32,47.68,41.599998,46.66,29348600,46.184227
2013-03-01,41.560001,47.919998,41.02,44.240002,36573000,43.788906
