Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,54.41,56.849998,53.68,55.48,37199500,54.363068
2015-11-02,52.849998,54.98,52.529999,54.349998,35943400,53.255814
2015-10-01,44.75,54.369999,43.75,52.639999,41050300,51.234901
2015-09-01,42.169998,45.00,41.66,44.259998,33716100,43.078587
2015-08-03,46.98,48.41,39.720001,43.52,38613300,42.358341
2015-07-01,44.459999,47.400002,43.32,46.700001,34378800,45.155685
2015-06-01,47.060001,47.77,43.939999,44.150002,31852300,42.690014
2015-05-01,48.580002,48.91,46.02,46.860001,33479600,45.310394
2015-04-01,40.599998,49.540001,40.119999,48.639999,44726700,46.727848
2015-03-02,43.669998,44.189999,40.540001,40.66,39055500,39.061562
2015-02-02,40.59,44.299999,40.23,43.849998,36332400,42.126156
2015-01-02,46.66,47.91,40.349998,40.400002,49846300,38.537525
2014-12-01,47.880001,49.060001,44.900002,46.450001,29469200,44.308617
2014-11-03,46.889999,50.049999,46.73,47.810001,28660000,45.605919
2014-10-01,46.27,46.970001,42.099998,46.950001,38656900,44.504864
2014-09-02,45.43,47.57,44.529999,46.360001,42564700,43.945591
2014-08-01,43.209999,45.470001,42.209999,45.43,25501300,43.064022
2014-07-01,41.860001,45.709999,41.049999,43.16,34688800,40.658302
2014-06-02,40.950001,42.290001,39.860001,41.700001,27931400,39.282928
2014-05-01,40.240002,40.970001,38.509998,40.939999,28996600,38.566978
2014-04-01,41.150002,41.66,38.900002,40.400002,37217600,37.791672
2014-03-03,37.919998,41.50,37.490002,40.990002,39300500,38.343578
2014-02-03,37.740002,38.459999,35.689999,38.310001,39290500,35.836609
2014-01-02,37.349998,37.889999,34.630001,37.84,48732700,35.133499
2013-12-02,38.09,38.98,35.529999,37.41,40196200,34.734253
2013-11-01,35.669998,38.290001,35.389999,38.130001,41126100,35.402756
2013-10-01,33.349998,36.290001,32.799999,35.41,43783200,32.629837
2013-09-03,31.75,33.75,30.950001,33.279999,64140000,30.667072
2013-08-01,32.060001,35.200001,30.84,33.400002,49729700,30.777653
2013-07-01,34.75,36.43,31.02,31.84,52501300,29.13483
2013-06-03,34.919998,35.779999,32.57,34.540001,50535000,31.605436
2013-05-01,32.93,35.279999,32.32,34.900002,51273800,31.934851
2013-04-01,28.639999,33.110001,28.110001,33.099998,70041900,30.076874
2013-03-01,27.719999,28.66,27.52,28.610001,45019900,25.996962
2013-02-01,27.67,28.200001,27.10,27.799999,42969800,25.260939
2013-01-02,27.25,28.23,26.280001,27.450001,56932500,24.738092
2012-12-03,26.780001,27.73,26.26,26.709999,49503000,24.071199
2012-11-01,28.84,30.200001,26.34,26.620001,66390700,23.990091
2012-10-01,29.809999,30.25,27.76,28.540001,55946000,25.510778
2012-09-04,30.450001,31.610001,29.74,29.76,49859800,26.601288
2012-08-01,29.59,30.959999,28.969999,30.82,30797300,27.548779
2012-07-02,30.620001,31.049999,28.540001,29.469999,42105900,26.168709
2012-06-01,28.76,31.139999,28.32,30.59,48969400,27.163244
2012-05-01,32.049999,32.34,28.639999,29.190001,47886600,25.920074
2012-04-02,32.220001,32.889999,30.23,32.02,48821800,28.247702
2012-03-01,31.93,32.950001,31.49,32.259998,44277900,28.459425
2012-02-01,29.790001,32.00,29.709999,31.74,52182700,28.000687
2012-01-03,26.549999,29.950001,26.389999,29.530001,70271500,25.880671
