Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,33.00,33.830002,31.84,32.279999,34548100,31.41391
2015-11-02,34.169998,35.25,30.99,32.77,44640900,31.890764
2015-10-01,31.299999,36.07,31.10,33.82,33473100,32.649067
2015-09-01,31.459999,33.959999,30.639999,31.41,29177200,30.322508
2015-08-03,36.290001,36.299999,28.469999,32.220001,27519400,31.104465
2015-07-01,33.560001,36.459999,33.080002,36.060001,23920500,34.541584
2015-06-01,34.77,34.919998,33.330002,33.529999,24666600,32.118114
2015-05-01,33.860001,34.990002,33.209999,34.75,24398200,33.286743
2015-04-01,34.84,35.529999,33.709999,33.93,27814200,32.234554
2015-03-02,34.32,35.450001,33.630001,34.790001,30966500,33.051582
2015-02-02,31.440001,34.970001,31.02,34.32,33144100,32.605068
2015-01-02,31.27,33.50,31.01,31.25,32063400,29.42886
2014-12-01,30.879999,33.119999,30.58,31.15,24918500,29.334688
2014-11-03,29.90,31.639999,29.76,31.15,22471400,29.334688
2014-10-01,29.370001,30.200001,27.51,29.950001,30533700,27.96244
2014-09-02,29.209999,30.84,29.01,29.57,23796300,27.607656
2014-08-01,28.700001,29.67,27.870001,29.389999,22757200,27.439602
2014-07-01,29.610001,31.309999,28.700001,28.700001,25876000,26.795393
2014-06-02,29.59,29.92,29.15,29.68,24000100,27.468021
2014-05-01,31.08,31.58,28.77,29.629999,33961400,27.421745
2014-04-01,31.93,32.689999,29.58,31.280001,33733800,28.693029
2014-03-03,31.52,32.959999,30.83,32.119999,28084400,29.463556
2014-02-03,31.030001,32.41,30.57,32.110001,29503900,29.454384
2014-01-02,30.469999,31.42,29.66,30.40,28032400,27.655197
2013-12-02,31.610001,31.93,29.950001,30.629999,25872000,27.864431
2013-11-01,30.700001,32.50,30.690001,31.73,23704600,28.865112
2013-10-01,28.58,31.35,28.02,30.690001,28383700,27.704529
2013-09-03,28.379999,29.27,27.860001,28.73,26732400,25.935194
2013-08-01,29.43,29.450001,27.76,28.209999,24663800,25.465778
2013-07-01,27.969999,30.43,27.33,29.23,36234400,26.386555
2013-06-03,27.299999,29.809999,27.120001,28.01,116729700,25.080704
2013-05-01,28.83,30.040001,27.23,27.23,45158200,24.382275
2013-04-01,28.75,31.15,28.639999,29.07,38511200,25.81465
2013-03-01,27.18,28.90,27.15,28.860001,30681800,25.628168
2013-02-01,27.58,27.799999,26.790001,27.370001,30559900,24.305023
2013-01-02,25.530001,27.84,25.33,27.280001,38862300,24.225101
2012-12-03,25.040001,25.790001,24.629999,25.08,31546100,22.078497
2012-11-01,24.82,25.08,23.549999,25.02,34383500,22.025679
2012-10-01,24.799999,26.09,24.799999,24.870001,27708400,21.698706
2012-09-04,23.790001,25.15,23.629999,24.85,29945400,21.681255
2012-08-01,23.92,24.370001,23.59,23.860001,26691300,20.817495
2012-07-02,22.85,24.49,22.00,24.040001,43919700,20.782597
2012-06-01,21.76,23.00,21.40,23.00,28814700,19.883514
2012-05-01,22.629999,22.99,21.85,21.870001,40211900,18.90663
2012-04-02,22.540001,23.299999,21.77,22.90,45957300,19.602802
2012-03-01,21.07,22.799999,21.049999,22.65,36590700,19.388798
2012-02-01,21.25,21.530001,20.75,21.129999,35337000,18.08765
2012-01-03,21.860001,22.17,21.219999,21.40,50192000,18.130451
2011-12-01,20.030001,21.90,19.73,21.639999,44507100,18.333784
2011-11-01,19.15,20.15,18.15,20.07,53813800,17.003653
2011-10-03,17.690001,19.950001,17.049999,19.26,44775100,16.154802
2011-09-01,18.91,19.15,17.299999,17.68,49899900,14.829537
2011-08-01,19.440001,19.459999,16.629999,18.98,67274100,15.919944
2011-07-01,20.50,20.950001,19.049999,19.25,46151000,15.968394
2011-06-01,21.34,21.450001,20.030001,20.60,46040800,17.088255
2011-05-02,21.139999,21.450001,20.07,21.450001,47818900,17.793354
2011-04-01,20.35,21.059999,19.10,20.969999,48380100,17.228399
2011-03-01,19.35,20.57,18.969999,20.309999,54771000,16.686161
2011-02-01,18.49,19.389999,18.459999,19.24,50955700,15.807077
2011-01-03,17.700001,18.76,17.620001,18.219999,57805000,14.813306
2010-12-01,16.49,17.700001,16.42,17.51,39904500,14.236059
2010-11-01,17.629999,17.84,16.25,16.299999,43786400,13.252299
2010-10-01,17.25,17.90,16.860001,17.42,46214700,14.017958
2010-09-01,16.129999,17.50,16.07,17.17,44877200,13.816781
2010-08-02,15.16,16.60,15.10,15.91,57078000,12.802853
2010-07-01,14.29,15.44,14.00,15.00,51233300,11.937603
2010-06-01,15.16,15.60,14.17,14.26,60257300,11.348681
2010-05-03,16.799999,17.389999,14.75,15.23,87303400,12.120646
2010-04-01,17.209999,17.33,16.33,16.719999,71789500,13.167679
2010-03-01,17.610001,17.879999,16.799999,17.15,64463500,13.506321
2010-02-01,18.790001,19.33,17.43,17.549999,66955500,13.821337
2010-01-04,18.27,20.360001,18.24,18.66,56357400,14.558023
2009-12-01,18.540001,18.99,17.629999,18.190001,43792000,14.191343
2009-11-02,17.049999,18.90,16.719999,18.17,50452700,14.175739
2009-10-01,16.50,18.43,16.07,17.030001,70879700,13.16048
2009-09-01,16.540001,16.940001,15.95,16.549999,46738300,12.789544
2009-08-03,16.120001,16.98,15.54,16.700001,41817100,12.905462
2009-07-01,14.97,16.66,14.11,15.93,54600100,12.187853
2009-06-01,15.36,15.45,13.94,15.00,56001500,11.47632
2009-05-01,13.39,15.60,13.25,15.19,60089800,11.621687
2009-04-01,13.59,14.27,12.75,13.36,63945100,10.107048
2009-03-02,12.08,14.99,11.62,13.62,77053100,10.303741
2009-02-02,14.63,15.38,12.28,12.31,70298300,9.312707
2009-01-02,17.879999,18.48,14.50,14.58,69039400,10.797787
2008-12-01,16.18,17.969999,15.20,17.709999,46406500,13.115829
2008-11-03,17.85,18.450001,14.26,16.43,54908500,12.167877
2008-10-01,18.26,19.389999,14.31,17.709999,82144100,12.887853
2008-09-02,19.299999,19.59,17.16,18.440001,58766800,13.419086
2008-08-01,18.809999,20.129999,18.530001,19.110001,38395300,13.906656
2008-07-01,17.43,19.25,17.26,18.67,48802400,13.365879
2008-06-02,19.43,19.459999,17.120001,17.469999,62092800,12.506797
2008-05-01,20.17,20.65,19.16,19.360001,47916300,13.859851
2008-04-01,21.049999,21.60,19.790001,20.110001,45646900,14.171166
2008-03-03,22.42,22.440001,20.190001,20.93,43695400,14.749005
2008-02-01,23.40,23.790001,22.030001,22.280001,41346200,15.700327
2008-01-02,22.76,24.24,21.559999,23.360001,54002400,16.231958
2007-12-03,23.620001,24.50,22.690001,22.73,37556800,15.794194
2007-11-01,24.58,24.60,22.24,23.76,45543900,16.509901
2007-10-01,24.450001,25.709999,23.360001,24.610001,37296900,16.893297
2007-09-04,24.780001,25.17,23.85,24.43,39031100,16.769737
2007-08-01,23.51,25.00,23.129999,24.84,46080300,17.051178
2007-07-02,25.700001,26.15,23.50,23.51,47445800,15.946012
2007-06-01,27.530001,27.73,25.309999,25.57,43969900,17.343239
2007-05-01,26.360001,27.629999,26.280001,27.49,35842900,18.645508
2007-04-02,25.23,27.24,25.23,26.459999,38969700,17.756598
2007-03-01,24.85,25.959999,24.549999,25.26,36864000,16.951311
2007-02-01,26.389999,27.00,24.940001,24.959999,34694000,16.749989
2007-01-03,26.15,27.41,25.780001,26.24,37766700,17.418631
2006-12-01,27.610001,27.860001,23.50,25.90,56246900,17.192932
2006-11-01,26.700001,27.879999,25.00,27.49,42224200,18.248405
2006-10-02,28.200001,28.60,26.379999,26.65,37722000,17.535217
2006-09-01,27.790001,28.58,27.32,28.360001,25293500,18.660366
2006-08-01,26.040001,27.879999,25.32,27.559999,28259100,18.13398
2006-07-03,23.540001,26.66,22.16,25.99,32149400,16.944057
2006-06-01,23.83,24.41,22.51,23.469999,29493200,15.301156
2006-05-01,25.50,25.719999,23.52,23.66,26783500,15.425026
2006-04-03,25.09,25.440001,24.18,25.33,24767100,16.358414
2006-03-01,26.10,26.60,24.83,24.92,24134200,16.09363
2006-02-01,25.75,26.84,24.950001,26.190001,32161900,16.913811
2006-01-03,23.65,26.34,23.60,25.68,37167900,16.426374
