Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,74.870003,81.230003,74.870003,79.410004,9656800,76.883484
2015-11-02,76.57,77.419998,73.949997,74.839996,7778700,72.45887
2015-10-01,71.760002,78.449997,71.290001,76.379997,9625400,73.949875
2015-09-01,69.370003,73.379997,67.330002,71.940002,11438800,69.030716
2015-08-03,76.510002,77.089996,65.019997,70.669998,11869700,67.812073
2015-07-01,78.389999,82.550003,76.660004,76.699997,8700300,73.598213
2015-06-01,78.650002,81.220001,77.099998,78.239998,8951800,74.466164
2015-05-01,79.760002,81.209999,78.190002,78.389999,7456600,74.608932
2015-04-01,82.440002,84.199997,79.07,79.510002,8532600,75.674911
2015-03-02,85.129997,85.440002,80.809998,81.940002,9562000,77.365417
2015-02-02,84.580002,86.779999,83.68,85.129997,8401500,80.377319
2015-01-02,90.839996,91.790001,84.25,84.290001,9269000,79.584221
2014-12-01,90.169998,93.889999,88.379997,91.089996,6717600,85.397202
2014-11-03,86.660004,90.559998,86.199997,90.43,7605300,84.778458
2014-10-01,84.019997,87.360001,81.57,87.269997,10054200,81.815941
2014-09-02,83.209999,85.400002,82.709999,83.739998,7493100,77.909012
2014-08-01,79.25,83.830002,78.660004,83.110001,7705900,77.322884
2014-07-01,78.870003,81.910004,77.290001,77.32,7958100,71.93605
2014-06-02,80.660004,80.669998,78.43,78.589996,8008000,72.538147
2014-05-01,82.389999,82.800003,79.540001,80.790001,6730800,74.568733
2014-04-01,80.599998,82.980003,79.379997,82.550003,9346200,76.193207
2014-03-03,78.260002,80.830002,77.349998,80.599998,9342600,73.803711
2014-02-03,76.690002,79.75,75.400002,78.660004,9895700,72.027298
2014-01-02,81.330002,81.699997,75.260002,76.620003,11260300,70.159309
2013-12-02,84.040001,84.940002,80.480003,81.410004,7996200,73.985725
2013-11-01,80.68,85.82,80.639999,84.220001,7811400,76.539459
2013-10-01,75.519997,82.620003,75.199997,80.75,8511200,73.38591
2013-09-03,78.269997,80.529999,75.349998,75.589996,8200800,68.163544
2013-08-01,81.620003,82.400002,73.610001,77.889999,7035600,70.237579
2013-07-01,77.019997,81.639999,77.00,80.300003,8412800,72.410812
2013-06-03,76.870003,79.470001,75.099998,76.989998,10345500,68.909836
2013-05-01,76.830002,82.349998,76.720001,76.760002,10643000,68.703972
2013-04-01,76.849998,82.540001,76.349998,76.769997,10781700,68.712921
2013-03-01,75.699997,77.82,75.559998,77.059998,8127400,68.469437
2013-02-01,75.300003,77.769997,74.949997,76.18,10651100,67.687538
2013-01-02,68.650002,75.480003,68.349998,75.160004,11153400,66.78125
2012-12-03,69.839996,70.989998,66.830002,67.889999,9531300,59.836575
2012-11-01,69.160004,69.889999,65.830002,69.830002,8325000,61.546444
2012-10-01,69.330002,70.830002,67.260002,69.239998,9772900,61.026428
2012-09-04,67.220001,69.970001,67.010002,69.360001,10586900,60.634277
2012-08-01,64.870003,67.449997,63.240002,67.190002,9360000,58.73727
2012-07-02,61.040001,65.75,60.779999,64.540001,16011500,56.42065
2012-06-01,61.759998,63.669998,59.07,61.25,12687300,53.084068
2012-05-01,63.34,64.809998,61.98,62.290001,10879000,53.985413
2012-04-02,67.43,67.919998,63.290001,63.639999,13983900,55.15543
2012-03-01,67.440002,67.949997,66.199997,67.209999,8417200,57.760872
2012-02-01,63.419998,67.769997,62.560001,67.620003,12492300,58.113232
2012-01-03,66.300003,67.00,62.700001,63.040001,14902600,54.177139
2011-12-01,64.580002,66.980003,63.869999,66.709999,8830700,56.876911
2011-11-01,63.369999,64.589996,61.00,64.57,9141000,55.052349
2011-10-03,63.689999,66.300003,61.779999,63.990002,10255200,54.557842
2011-09-01,63.619999,64.699997,60.299999,63.18,11717100,53.431622
2011-08-01,62.16,63.950001,57.560001,63.68,15413400,53.854473
2011-07-01,63.470001,65.139999,61.490002,61.490002,10834000,52.00238
2011-06-01,66.959999,66.989998,62.360001,63.57,10245800,53.324596
2011-05-02,65.239998,67.720001,64.860001,67.00,10412500,56.201794
2011-04-01,61.880001,65.099998,61.470001,64.900002,10289300,54.440247
2011-03-01,63.43,63.650002,59.700001,61.599998,11100000,51.247093
2011-02-01,63.43,64.970001,62.299999,63.049999,11192300,52.4534
2011-01-03,64.389999,66.949997,63.009998,63.130001,12328200,52.519955
2010-12-01,61.57,65.379997,61.50,64.330002,9174400,53.124443
2010-11-01,63.880001,65.00,61.02,61.07,10495300,50.432297
2010-10-01,60.09,63.98,59.68,63.57,12957800,52.496826
2010-09-01,59.900002,62.00,59.529999,59.970001,10865000,49.146091
2010-08-02,61.950001,62.09,59.169998,59.669998,12769500,48.900234
2010-07-01,59.84,63.360001,58.919998,61.16,12717800,50.121307
2010-06-01,60.889999,62.599998,59.57,59.98,16423000,48.772579
2010-05-03,62.419998,63.950001,39.369999,61.09,16739400,49.675171
2010-04-01,63.470001,64.00,60.830002,62.16,12157300,50.545238
2010-03-01,63.459999,64.580002,62.509998,63.27,9790900,51.054905
2010-02-01,61.849998,63.959999,60.43,63.279999,13272200,51.062969
2010-01-04,61.110001,63.310001,59.009998,61.549999,14286100,49.666969
2009-12-01,62.610001,63.389999,60.41,60.630001,9546600,48.575809
2009-11-02,58.389999,63.48,58.00,62.349998,12742300,49.953842
2009-10-01,57.630001,59.98,56.02,58.00,13089500,46.468693
2009-09-01,53.849998,58.66,52.52,57.919998,13710200,46.053349
2009-08-03,55.959999,56.00,51.139999,54.110001,13376900,43.023945
2009-07-01,51.470001,57.00,50.52,55.509998,12763500,44.137112
2009-06-01,52.549999,54.130001,50.00,51.099998,13627600,40.308456
2009-05-01,49.599998,54.77,48.549999,51.939999,13927600,40.971062
2009-04-01,46.75,51.970001,46.290001,49.439999,15168700,38.999023
2009-03-02,47.32,49.029999,43.93,47.09,16717100,36.827148
2009-02-02,54.00,54.459999,47.759998,48.169998,17759900,37.671768
2009-01-02,61.689999,62.970001,54.240002,54.50,18126300,42.622204
2008-12-01,63.73,64.00,57.049999,61.82,15942800,48.010139
2008-11-03,64.720001,66.82,53.77,64.349998,32108700,49.974964
2008-10-01,69.339996,71.940002,54.919998,64.540001,29595400,50.122524
2008-09-02,70.349998,73.57,66.00,69.690002,18771600,53.778225
2008-08-01,65.730003,72.00,64.720001,69.769997,12245200,53.839954
2008-07-01,60.549999,67.410004,60.049999,65.480003,16356200,50.529461
2008-06-02,65.919998,67.150002,60.439999,60.810001,13805100,46.634033
2008-05-01,67.029999,67.480003,64.75,66.050003,11435300,50.652493
2008-04-01,70.410004,71.199997,65.800003,67.050003,14173900,51.419373
